time	thread	event	node	message	data
21:49:14.017932	5237323	Start	Source	1	0
21:49:14.018543	5237323	Stop	Source	1	0
21:49:14.018561	5237323	Start	Calibration[C]	1	1
21:49:14.018589	5237326	Start	Histogramming	1	0
21:49:14.018597	5237325	Start	Generating	1	0
21:49:14.018608	5237328	Start	Source	2	0
21:49:14.018658	5237328	Stop	Source	2	0
21:49:14.018645	5237318	Start	Calibration[B]	1	13
21:49:14.018621	5237321	Start	Propagating	1	0
21:49:14.018726	5237328	Start	Source	3	0
21:49:14.018747	5237328	Stop	Source	3	0
21:49:14.018728	5237324	Start	Propagating	2	0
21:49:14.018757	5237328	Start	Source	4	0
21:49:14.018799	5237328	Stop	Source	4	0
21:49:14.018789	5237327	Start	Propagating	3	0
21:49:14.018829	5237320	Start	Propagating	4	0
21:49:14.018808	5237328	Start	Source	5	0
21:49:14.018910	5237328	Stop	Source	5	0
21:49:14.018919	5237328	Start	Source	6	0
21:49:14.018924	5237328	Stop	Source	6	0
21:49:14.018930	5237328	Start	Source	7	0
21:49:14.018934	5237328	Stop	Source	7	0
21:49:14.018941	5237328	Start	Source	8	0
21:49:14.018945	5237328	Stop	Source	8	0
21:49:14.018951	5237328	Start	Source	9	0
21:49:14.018956	5237328	Stop	Source	9	0
21:49:14.018973	5237328	Start	Source	10	0
21:49:14.018978	5237328	Stop	Source	10	0
21:49:14.018991	5237328	Start	Source	11	0
21:49:14.019000	5237328	Stop	Source	11	0
21:49:14.018979	5237322	Start	Propagating	9	0
21:49:14.019046	5237319	Start	Propagating	6	0
21:49:14.019006	5237328	Start	Source	12	0
21:49:14.019087	5237328	Stop	Source	12	0
21:49:14.019100	5237328	Start	Source	13	0
21:49:14.019106	5237328	Stop	Source	13	0
21:49:14.019111	5237328	Start	Source	14	0
21:49:14.019117	5237328	Stop	Source	14	0
21:49:14.019122	5237328	Start	Source	15	0
21:49:14.019126	5237328	Stop	Source	15	0
21:49:14.019130	5237328	Start	Source	16	0
21:49:14.019134	5237328	Stop	Source	16	0
21:49:14.019139	5237328	Start	Source	17	0
21:49:14.019142	5237328	Stop	Source	17	0
21:49:14.019148	5237328	Start	Source	18	0
21:49:14.019152	5237328	Stop	Source	18	0
21:49:14.019157	5237328	Start	Source	19	0
21:49:14.019161	5237328	Stop	Source	19	0
21:49:14.019165	5237328	Start	Source	20	0
21:49:14.019169	5237328	Stop	Source	20	0
21:49:14.019173	5237328	Start	Source	21	0
21:49:14.019177	5237328	Stop	Source	21	0
21:49:14.019181	5237328	Start	Source	22	0
21:49:14.019185	5237328	Stop	Source	22	0
21:49:14.019190	5237328	Start	Source	23	0
21:49:14.019193	5237328	Stop	Source	23	0
21:49:14.019197	5237328	Start	Source	24	0
21:49:14.019201	5237328	Stop	Source	24	0
21:49:14.019205	5237328	Start	Source	25	0
21:49:14.019209	5237328	Stop	Source	25	0
21:49:14.019213	5237328	Start	Source	26	0
21:49:14.019217	5237328	Stop	Source	26	0
21:49:14.019221	5237328	Start	Source	27	0
21:49:14.019225	5237328	Stop	Source	27	0
21:49:14.019229	5237328	Start	Source	28	0
21:49:14.019233	5237328	Stop	Source	28	0
21:49:14.019237	5237328	Start	Source	29	0
21:49:14.019241	5237328	Stop	Source	29	0
21:49:14.019245	5237328	Start	Source	30	0
21:49:14.019249	5237328	Stop	Source	30	0
21:49:14.019253	5237328	Start	Source	31	0
21:49:14.019257	5237328	Stop	Source	31	0
21:49:14.019261	5237328	Start	Source	32	0
21:49:14.019265	5237328	Stop	Source	32	0
21:49:14.019270	5237328	Start	Source	33	0
21:49:14.019273	5237328	Stop	Source	33	0
21:49:14.019278	5237328	Start	Source	34	0
21:49:14.019282	5237328	Stop	Source	34	0
21:49:14.019287	5237328	Start	Source	35	0
21:49:14.019291	5237328	Stop	Source	35	0
21:49:14.019295	5237328	Start	Source	36	0
21:49:14.019299	5237328	Stop	Source	36	0
21:49:14.019303	5237328	Start	Source	37	0
21:49:14.019307	5237328	Stop	Source	37	0
21:49:14.019311	5237328	Start	Source	38	0
21:49:14.019315	5237328	Stop	Source	38	0
21:49:14.019319	5237328	Start	Source	39	0
21:49:14.019323	5237328	Stop	Source	39	0
21:49:14.019327	5237328	Start	Source	40	0
21:49:14.019331	5237328	Stop	Source	40	0
21:49:14.019335	5237328	Start	Source	41	0
